"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0877,-2.56e-20,4.1033e-19,1.2687e-05,1.1647e-05,0.6814,1,11.832,11.832,0,0
1.088,-2.5607e-20,4.1044e-19,1.304e-05,1.2023e-05,0.68105,1,11.883,11.883,0,0
1.0883,-2.5614e-20,4.1056e-19,1.3393e-05,1.2398e-05,0.6807,1,11.934,11.934,0,0
1.0887,-2.5622e-20,4.1068e-19,1.3746e-05,1.2773e-05,0.68035,1,11.985,11.985,0,0
1.089,-2.5629e-20,4.108e-19,1.4196e-05,1.3246e-05,0.68001,1,12.036,12.036,0,0
1.0893,-2.5637e-20,4.1092e-19,1.4688e-05,1.3759e-05,0.67966,1,12.087,12.087,0,0
1.0896,-2.5644e-20,4.1104e-19,1.5179e-05,1.4272e-05,0.67932,1,12.138,12.138,0,0
1.0899,-2.5651e-20,4.1116e-19,1.5671e-05,1.4786e-05,0.67898,1,12.189,12.189,0,0
1.0902,-2.5659e-20,4.1127e-19,1.6264e-05,1.5409e-05,0.67863,1,12.24,12.24,0,0
1.0905,-2.5666e-20,4.1139e-19,1.6884e-05,1.6063e-05,0.67829,1,12.291,12.291,0,0
1.0908,-2.5673e-20,4.1151e-19,1.7505e-05,1.6717e-05,0.67795,1,12.342,12.342,0,0
1.0912,-2.5681e-20,4.1162e-19,1.8126e-05,1.7371e-05,0.67761,1,12.393,12.393,0,0
