"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1488,2.2171e-14,3.4946e-16,0.0016763,0.0028141,0.81282,1,23.808,23.808,0,0
1.1495,2.2183e-14,3.4965e-16,0.001676,0.00282,0.81207,1,23.932,23.932,0,0
1.1501,2.2195e-14,3.4983e-16,0.0016751,0.0028213,0.81131,1,24.056,24.056,0,0
1.1507,2.2207e-14,3.5002e-16,0.0016732,0.002817,0.81056,1,24.18,24.18,0,0
1.1513,2.2218e-14,3.5021e-16,0.0016722,0.0028155,0.8098,1,24.304,24.304,0,0
1.1519,2.223e-14,3.5039e-16,0.0016947,0.0028972,0.80904,1,24.428,24.428,0,0
1.1525,2.2242e-14,3.5057e-16,0.0017173,0.0029789,0.80829,1,24.552,24.552,0,0
1.1531,2.2253e-14,3.5075e-16,0.0017394,0.0030455,0.80754,1,24.676,24.676,0,0
1.1537,2.2264e-14,3.5093e-16,0.0017612,0.0031025,0.80678,1,24.8,24.8,0,0
1.1543,2.2276e-14,3.5111e-16,0.0017788,0.0031441,0.80603,1,24.924,24.924,0,0
1.1548,2.2287e-14,3.5128e-16,0.001779,0.0031212,0.80528,1,25.048,25.048,0,0
1.1554,2.2298e-14,3.5146e-16,0.0017792,0.0030983,0.80453,1,25.172,25.172,0,0
1.156,2.2309e-14,3.5163e-16,0.0017842,0.0030961,0.8038,1,25.296,25.296,0,0
1.1565,2.2319e-14,3.5179e-16,0.0017906,0.0030999,0.80307,1,25.42,25.42,0,0
1.1571,2.233e-14,3.5196e-16,0.0018038,0.0031123,0.80233,1,25.544,25.544,0,0
1.1576,2.2341e-14,3.5214e-16,0.0018295,0.0031403,0.80155,1,25.668,25.668,0,0
1.1582,2.2352e-14,3.5231e-16,0.0018702,0.0032038,0.80081,1,25.792,25.792,0,0
1.1587,2.2362e-14,3.5247e-16,0.0019171,0.0032791,0.80008,1,25.916,25.916,0,0
1.1593,2.2372e-14,3.5263e-16,0.001969,0.0033494,0.79936,1,26.04,26.04,0,0
1.1598,2.2382e-14,3.5279e-16,0.0020274,0.0034387,0.79863,1,26.164,26.164,0,0
1.1603,2.2392e-14,3.5294e-16,0.0020906,0.0035419,0.79789,1,26.288,26.288,0,0
1.1608,2.2402e-14,3.531e-16,0.0021587,0.0036583,0.79714,1,26.412,26.412,0,0
1.1613,2.2411e-14,3.5325e-16,0.0022201,0.0037534,0.79639,1,26.536,26.536,0,0
1.1618,2.2421e-14,3.534e-16,0.0022765,0.0038331,0.79563,1,26.66,26.66,0,0
1.1623,2.243e-14,3.5354e-16,0.0023354,0.003922,0.79488,1,26.784,26.784,0,0
1.1627,2.2439e-14,3.5368e-16,0.0023893,0.0039822,0.79414,1,26.908,26.908,0,0
1.1632,2.2448e-14,3.5382e-16,0.0024391,0.0040275,0.79341,1,27.032,27.032,0,0
1.1636,2.2457e-14,3.5396e-16,0.0024846,0.0040749,0.79269,1,27.156,27.156,0,0
1.1641,2.2465e-14,3.5409e-16,0.0025401,0.0041297,0.79197,1,27.28,27.28,0,0
1.1645,2.2473e-14,3.5422e-16,0.0026061,0.0041996,0.79125,1,27.404,27.404,0,0
1.1649,2.2481e-14,3.5435e-16,0.0026822,0.0042878,0.79053,1,27.528,27.528,0,0
1.1653,2.2489e-14,3.5447e-16,0.0027621,0.0043973,0.78981,1,27.652,27.652,0,0
1.1657,2.2497e-14,3.5459e-16,0.00282,0.0044779,0.78909,1,27.776,27.776,0,0
1.1661,2.2504e-14,3.5471e-16,0.0028807,0.0045875,0.78835,1,27.9,27.9,0,0
1.1665,2.2512e-14,3.5483e-16,0.0029436,0.0047036,0.78761,1,28.024,28.024,0,0
1.1669,2.2519e-14,3.5494e-16,0.0029951,0.0047587,0.78687,1,28.148,28.148,0,0
1.1672,2.2526e-14,3.5505e-16,0.0029983,0.0046626,0.78614,1,28.272,28.272,0,0
1.1676,2.2533e-14,3.5516e-16,0.0030115,0.0045718,0.78541,1,28.396,28.396,0,0
1.1679,2.2539e-14,3.5526e-16,0.0030493,0.0045525,0.78468,1,28.52,28.52,0,0
1.1682,2.2546e-14,3.5536e-16,0.0030998,0.0046119,0.78396,1,28.644,28.644,0,0
1.1686,2.2552e-14,3.5546e-16,0.003141,0.0047024,0.78324,1,28.768,28.768,0,0
1.1689,2.2558e-14,3.5556e-16,0.0031625,0.0047614,0.78251,1,28.892,28.892,0,0
1.1692,2.2564e-14,3.5565e-16,0.0031841,0.0047978,0.78179,1,29.016,29.016,0,0
1.1695,2.257e-14,3.5574e-16,0.0032236,0.0048439,0.78107,1,29.14,29.14,0,0
1.1698,2.2575e-14,3.5583e-16,0.003278,0.0049302,0.78035,1,29.264,29.264,0,0
1.17,2.258e-14,3.5591e-16,0.0033358,0.00505,0.77963,1,29.388,29.388,0,0
1.1703,2.2585e-14,3.5598e-16,0.0033907,0.0051389,0.77891,1,29.512,29.512,0,0
1.1705,2.2589e-14,3.5605e-16,0.003454,0.0052098,0.7782,1,29.636,29.636,0,0
1.1707,2.2594e-14,3.5612e-16,0.0035214,0.0052825,0.77749,1,29.76,29.76,0,0
1.1709,2.2598e-14,3.5618e-16,0.0036022,0.0053929,0.77678,1,29.884,29.884,0,0
1.1711,2.2601e-14,3.5624e-16,0.0036978,0.0055526,0.77606,1,30.008,30.008,0,0
