"U:0","U:1","U:2","k","nut","omega","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1031,2.1289e-14,3.3555e-16,0.0018793,0.004022,0.46725,0.83146,0,1,15.128,15.128,0,0
1.1039,2.1304e-14,3.3579e-16,0.0018724,0.0040137,0.46649,0.83063,0,1,15.252,15.252,0,0
1.1047,2.1319e-14,3.3602e-16,0.0018657,0.0040055,0.46578,0.82982,0,1,15.376,15.376,0,0
1.1054,2.1333e-14,3.3626e-16,0.0018591,0.0039972,0.4651,0.829,0,1,15.5,15.5,0,0
1.1062,2.1348e-14,3.3649e-16,0.0018526,0.003989,0.46443,0.82819,0,1,15.624,15.624,0,0
1.107,2.1363e-14,3.3672e-16,0.0018464,0.0039811,0.4638,0.82738,0,1,15.748,15.748,0,0
1.1077,2.1378e-14,3.3695e-16,0.0018402,0.0039731,0.46317,0.82656,0,1,15.872,15.872,0,0
1.1085,2.1392e-14,3.3718e-16,0.0018344,0.0039653,0.46261,0.82576,0,1,15.996,15.996,0,0
1.1092,2.1407e-14,3.3741e-16,0.0018287,0.0039576,0.46206,0.82495,0,1,16.12,16.12,0,0
1.11,2.1421e-14,3.3764e-16,0.0018229,0.0039497,0.46153,0.82415,0,1,16.244,16.244,0,0
1.1107,2.1435e-14,3.3786e-16,0.0018172,0.0039415,0.46104,0.82335,0,1,16.368,16.368,0,0
1.1114,2.1449e-14,3.3808e-16,0.0018114,0.0039332,0.46055,0.82255,0,1,16.492,16.492,0,0
1.1122,2.1464e-14,3.3831e-16,0.0018058,0.0039245,0.46013,0.82176,0,1,16.616,16.616,0,0
1.1129,2.1478e-14,3.3853e-16,0.0018001,0.0039157,0.45972,0.82096,0,1,16.74,16.74,0,0
1.1136,2.1492e-14,3.3875e-16,0.0017949,0.0039074,0.45936,0.82017,0,1,16.864,16.864,0,0
1.1143,2.1505e-14,3.3897e-16,0.0017902,0.0038997,0.45906,0.81939,0,1,16.988,16.988,0,0
1.1151,2.1519e-14,3.3918e-16,0.0017855,0.0038921,0.45876,0.8186,0,1,17.112,17.112,0,0
